[0.020s][info][gc] Using The Z Garbage Collector
[59.841s][info][gc] GC(71) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[60.842s][info][gc] GC(72) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[61.842s][info][gc] GC(73) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[62.841s][info][gc] GC(74) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[63.741s][info][gc] GC(75) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[64.142s][info][gc] GC(76) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[64.842s][info][gc] GC(77) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[65.841s][info][gc] GC(78) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[66.842s][info][gc] GC(79) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[67.841s][info][gc] GC(80) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[68.841s][info][gc] GC(81) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[69.842s][info][gc] GC(82) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[70.841s][info][gc] GC(83) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[71.841s][info][gc] GC(84) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[72.841s][info][gc] GC(85) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[73.842s][info][gc] GC(86) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[74.841s][info][gc] GC(87) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[75.841s][info][gc] GC(88) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[76.841s][info][gc] GC(89) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[77.841s][info][gc] GC(90) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[78.841s][info][gc] GC(91) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[79.841s][info][gc] GC(92) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[80.841s][info][gc] GC(93) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[81.841s][info][gc] GC(94) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[82.842s][info][gc] GC(95) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[83.841s][info][gc] GC(96) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[84.841s][info][gc] GC(97) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[85.841s][info][gc] GC(98) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[86.842s][info][gc] GC(99) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[87.841s][info][gc] GC(100) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[88.841s][info][gc] GC(101) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[89.841s][info][gc] GC(102) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[90.841s][info][gc] GC(103) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[91.842s][info][gc] GC(104) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[92.841s][info][gc] GC(105) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[93.841s][info][gc] GC(106) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[94.842s][info][gc] GC(107) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[95.842s][info][gc] GC(108) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[96.841s][info][gc] GC(109) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[97.841s][info][gc] GC(110) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[98.841s][info][gc] GC(111) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[99.842s][info][gc] GC(112) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[100.842s][info][gc] GC(113) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[101.841s][info][gc] GC(114) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[102.841s][info][gc] GC(115) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[103.842s][info][gc] GC(116) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[104.842s][info][gc] GC(117) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[105.841s][info][gc] GC(118) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[106.841s][info][gc] GC(119) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[107.841s][info][gc] GC(120) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[108.741s][info][gc] GC(121) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[109.142s][info][gc] GC(122) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[109.841s][info][gc] GC(123) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[110.841s][info][gc] GC(124) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[111.842s][info][gc] GC(125) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[112.841s][info][gc] GC(126) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[113.241s][info][gc] GC(127) Garbage Collection (Proactive) 12M(60%)->8M(40%)
[113.841s][info][gc] GC(128) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[114.841s][info][gc] GC(129) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[115.841s][info][gc] GC(130) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[116.842s][info][gc] GC(131) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[117.841s][info][gc] GC(132) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[118.841s][info][gc] GC(133) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[119.841s][info][gc] GC(134) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[120.842s][info][gc] GC(135) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[121.841s][info][gc] GC(136) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[122.841s][info][gc] GC(137) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[123.741s][info][gc] GC(138) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[124.141s][info][gc] GC(139) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[124.842s][info][gc] GC(140) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[125.841s][info][gc] GC(141) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[126.841s][info][gc] GC(142) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[127.841s][info][gc] GC(143) Garbage Collection (Proactive) 10M(50%)->8M(40%)
